phone_full_name,phone_review_rating,phone_rate_number,phone_sale_price,phone_list_price,phone_discount,phone_brand,phone_dim,phone_weight,phone_ASIN,phone_model_numer,phone_batteries,phone_os,phone_ram,phone_wire_com_tech,phone_conn_tech,phone_is_GPS,phone_special_features,phone_display_tech,phone_other_display_features,phone_human_int_input,phone_scanner_res,phone_other_cam_features,phone_from_factor,phone_color,phone_batt_power_rating,phone_set,phone_manufacturer,phone_date,phone_mem_storage_cap,phone_standing_screen_display_size,phone_ram_memory_installed_size,phone_cust_rev_5_perc,phone_cust_rev_4_perc,phone_cust_rev_3_perc,phone_cust_rev_2_perc,phone_cust_rev_1_perc,phone_cust_say
"Xiaomi Redmi Note 13 Pro 5G (256GB + 8GB) 6.67"" 200MP (for Tmobile Mint Tello & Global) Global Version (Midnight Black)",4.5,"4,762 ratings",$299.00,$299.00,11%,Xiaomi,7.87 x 5.91 x 5.51 inches,1.1 pounds,B0CTN4MS5M,note 13 pro 5g,1 Lithium Polymer batteries required. (included),MIUI 14,Sorry bro,Cellular,Infrared,True,Sorry bro,Sorry bro,Wireless,Microphone,2712 x 1220,Front,Smartphone,Midnight Black,5000 Milliamp Hours,"Wall Adapter, SIM Tray Ejector, Fast Car charger, USB Cable",Xiaomi,"February 13, 2024",256 GB,1.4 Inches,8 GB,Sorry bro,14%,3%,Sorry bro,Sorry bro,"{'Phone quality': {'pos_rev': '23', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '23', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '23', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Battery life': {'pos_rev': '23', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Ease of setup': {'pos_rev': '23', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Photo quality': {'pos_rev': '23', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Clarity': {'pos_rev': '23', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Charging speed': {'pos_rev': '23', 'neg_rev': '0', 'tone': 'MIXED'}}"
"Xiaomi Poco F6 Pro 5G + 4G Lte (for Tmobile Mint Tello & Global) 256GB + 12GB Global Version Unlocked 6.67"" 120Hz 50Mp Triple Camera (Black)",3.0,1 rating,$435.60,Sorry bro,0%,Xiaomi,Sorry bro,6 ounces,B0D47MZ2Z1,poco f6 PRO,1 Lithium Polymer batteries required. (included),Android 13.0,12 GB,Cellular,Wireless,True,Sorry bro,Sorry bro,Wireless,Touchscreen,2560 x 1440,"Rear, Front",Smartphone,Black (Global ROM),5000 Milliamp Hours,"Wall Charger 120w, SIM Tray Ejector, Phone Case, Fast Car Charger 51w, USB Cable",Xiaomi,"June 1, 2023",256 GB,6.67 Inches,12 GB,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,{}
Tracfone Samsung Galaxy A10e 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - SIM Card Included - CDMA,4.3,"3,197 ratings",Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xiaomi Redmi 14C 4G LTE (for Tello Mint & Global) (128GB + 4GB) Factory Unlocked Global Gsm 6.88"" 50MP Triple Camera (Sage Green)",4.2,43 ratings,$121.00,Sorry bro,0%,Xiaomi,Sorry bro,6 ounces,B0DGLTZK4V,14C,1 Lithium Polymer batteries required. (included),Xiaomi HyperOS based on Android 14,4 GB,Cellular,Wi-Fi,True,Dual Camera,Sorry bro,Wireless,Touchscreen,1640 x 720,"Rear, Front",Smartphone,Sage Green Global Version,5160 Milliamp Hours,"Fast Car Charger, 18w Wall Charger, Adapter, 33w Car Charger, Phone Case",Xiaomi,"September 1, 2024",128 GB,6.88 Inches,4 GB,15%,Sorry bro,63%,Sorry bro,11%,{}
"SAMSUNG Galaxy A01 (LTE Verizon) 5.7"" Screen and 16GB (U.S. Warranty), Black- SM-A015VZKAVZW",4.0,65 ratings,$79.95,Sorry bro,0%,SAMSUNG,0.33 x 0.11 x 5.81 inches,5.3 ounces,B089C8HSDS,SM-A015VZKAVZW,1 Lithium Ion batteries required. (included),Android,16 GB,Cellular,"Bluetooth 5.0,Wifi 802.11 a/b/g/n/ac 2.4G+5GHz, VHT80",GPS,long-lasting battery,Sorry bro,Wireless,Touchscreen,1716 x 920,Rear,Smartphone,Black,Sorry bro,"Handset + Cling, Travel Adapter, Data Cable, Ejection Pin, Quick Reference Manual, Terms & Conditions/Health & Safety Guide",Samsung,"September 15, 2019",2 GB,5.7 Inches,2 GB,Sorry bro,Sorry bro,53%,Sorry bro,Sorry bro,{}
Apple iPhone 15 Pro Max Silicone Case with MagSafe - Winter Blue,4.1,"6,306 ratings",$46.70,$49.00,5%,Apple,‎6.34 x 3.42 x 0.7 inches,‎2.88 ounces,‎B0CHWVCV1Y,‎MT1Y3ZM/A,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,‎Apple,"‎September 12, 2023",Sorry bro,Sorry bro,Sorry bro,Sorry bro,4%,Sorry bro,Sorry bro,Sorry bro,"{'Color': {'pos_rev': '166', 'neg_rev': '61', 'tone': 'POSITIVE'}, 'Feel': {'pos_rev': '166', 'neg_rev': '61', 'tone': 'POSITIVE'}, 'Phone protection': {'pos_rev': '166', 'neg_rev': '61', 'tone': 'POSITIVE'}, 'Quality': {'pos_rev': '166', 'neg_rev': '61', 'tone': 'MIXED'}, 'Durability': {'pos_rev': '166', 'neg_rev': '61', 'tone': 'MIXED'}, 'Slipperiness': {'pos_rev': '166', 'neg_rev': '61', 'tone': 'MIXED'}, 'Fit': {'pos_rev': '166', 'neg_rev': '61', 'tone': 'MIXED'}, 'Value for money': {'pos_rev': '166', 'neg_rev': '61', 'tone': 'NEGATIVE'}}"
"Samsung Galaxy A55 5G (256GB + 8GB) (for Tmobile Mint Tello & Global) GSM Unlocked SM-A556E/DS 6.6"" 120Hz Triple 50MP Camera (Ice Blue)",4.4,102 ratings,$389.50,Sorry bro,0%,SAMSUNG,6 x 4 x 2 inches,12.3 ounces,B0D4MQV3VQ,SAMSUNG A55,1 Lithium Polymer batteries required. (included),Android 14 with Samsung One UI 6.1,8,"Cellular, Bluetooth, Wi-Fi, NFC",NFC,True,Dual SIM,Sorry bro,Wireless,Microphone,1080 x 2340,Front,Smartphone,Awesome Ice Blue 1 Year Latin America Warranty,5000 Watt Hours,"Bundle 25W Wall charger With dual USB, SIM Tray Ejector, USB Cable",Samsung Electronics,"May 20, 2024",256 GB,6.6 Inches,8 GB,Sorry bro,14%,Sorry bro,Sorry bro,Sorry bro,"{'Build quality': {'pos_rev': '11', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '11', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Design': {'pos_rev': '11', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Processor speed': {'pos_rev': '11', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '11', 'neg_rev': '0', 'tone': 'MIXED'}}"
"SAMSUNG Galaxy A14 5G + 4G LTE (128GB + 4GB) Unlocked Worldwide (Only T-Mobile/Mint/Tello USA Market) 1 Year Warranty Latin America 6.6"" 50MP Triple Camera + (15W Wall Charger) (Silver)",4.3,162 ratings,$175.00,$175.00,9%,SAMSUNG,19.69 x 19.69 x 11.02 inches,10.2 ounces,B0C34C4W27,SAMSUNG A14 5G,1 Lithium Ion batteries required. (included),"Android 12, One UI Core 4.1",4,"Bluetooth, Cellular, Wi-Fi",Wi-Fi,True,Dual SIM,Sorry bro,Wireless,Touchscreen,1080 x 2408,Rear,Smartphone,Silver,5000 Milliampere Hour (mAh),"Fast Car Charger, SIM Tray Ejector, USB Cable",Samsung Electronics,"April 20, 2023",128 GB,Sorry bro,4 GB,Sorry bro,64%,Sorry bro,Sorry bro,Sorry bro,"{'Phone quality': {'pos_rev': '11', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '11', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '11', 'neg_rev': '0', 'tone': 'MIXED'}, 'Compatibility': {'pos_rev': '11', 'neg_rev': '0', 'tone': 'NEGATIVE'}}"
Apple iPhone 16 Plus Silicone Case with MagSafe and Camera Control - Tangerine ​​​​​​​,4.6,424 ratings,$49.99,Sorry bro,0%,Apple,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,3%,2%,81%,"{'Durability': {'pos_rev': '19', 'neg_rev': '7', 'tone': 'POSITIVE'}, 'Color': {'pos_rev': '19', 'neg_rev': '7', 'tone': 'POSITIVE'}, 'Fit': {'pos_rev': '19', 'neg_rev': '7', 'tone': 'POSITIVE'}, 'Phone protection': {'pos_rev': '19', 'neg_rev': '7', 'tone': 'POSITIVE'}, 'Feel': {'pos_rev': '19', 'neg_rev': '7', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '19', 'neg_rev': '7', 'tone': 'POSITIVE'}, 'Phone case': {'pos_rev': '19', 'neg_rev': '7', 'tone': 'POSITIVE'}, 'Slipperiness': {'pos_rev': '19', 'neg_rev': '7', 'tone': 'MIXED'}}"
"SAMSUNG 15W Wireless Charger Duo w/USB C Cable, Charge 2 Devices at Once, Cordless Super Fast Charging Pad for Galaxy Phones and Devices, 2022, US Version, Black",4.5,"2,790 ratings",$48.99,$89.99,46%,SAMSUNG,Sorry bro,10.5 ounces,B09MV3BRHC,EP-P5400TBEGUS,Sorry bro,Sorry bro,Sorry bro,Sorry bro,"Wireless, USB",Sorry bro,Fast Charging,Sorry bro,CE,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Black,Sorry bro,"Manual, 25W TA, Wireless charger, 1M DLC",Samsung,"December 16, 2021",Sorry bro,Sorry bro,Sorry bro,5%,74%,13%,2%,Sorry bro,"{'Functionality': {'pos_rev': '140', 'neg_rev': '44', 'tone': 'POSITIVE'}, 'Ease of use': {'pos_rev': '140', 'neg_rev': '44', 'tone': 'POSITIVE'}, 'Size': {'pos_rev': '140', 'neg_rev': '44', 'tone': 'POSITIVE'}, 'Compatibility': {'pos_rev': '140', 'neg_rev': '44', 'tone': 'POSITIVE'}, 'Charging speed': {'pos_rev': '140', 'neg_rev': '44', 'tone': 'MIXED'}, 'Build quality': {'pos_rev': '140', 'neg_rev': '44', 'tone': 'MIXED'}, 'Heat retention': {'pos_rev': '140', 'neg_rev': '44', 'tone': 'MIXED'}, 'Value for money': {'pos_rev': '140', 'neg_rev': '44', 'tone': 'NEGATIVE'}}"
Apple iPhone 16 Pro Clear Case with MagSafe and Camera Control ​​,4.2,623 ratings,$34.99,$49.00,29%,Apple,‎3.35 x 7.06 x 0.72 inches,‎2.46 ounces,‎B0DGHH7S34,‎MA7E4ZM/A,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,‎Apple,"‎September 9, 2024",Sorry bro,Sorry bro,Sorry bro,15%,64%,3%,Sorry bro,Sorry bro,"{'Durability': {'pos_rev': '31', 'neg_rev': '9', 'tone': 'POSITIVE'}, 'Looks': {'pos_rev': '31', 'neg_rev': '9', 'tone': 'POSITIVE'}, 'Fit': {'pos_rev': '31', 'neg_rev': '9', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '31', 'neg_rev': '9', 'tone': 'POSITIVE'}, 'Buttons ease of use': {'pos_rev': '31', 'neg_rev': '9', 'tone': 'MIXED'}, 'Value for money': {'pos_rev': '31', 'neg_rev': '9', 'tone': 'MIXED'}, 'Ease of use': {'pos_rev': '31', 'neg_rev': '9', 'tone': 'MIXED'}, 'Slipperiness': {'pos_rev': '31', 'neg_rev': '9', 'tone': 'NEGATIVE'}}"
"Xiaomi 12 Pro Unlocked 5G Cellular Phone, 6.73 inch LTPO AMOLED Display, 256GB Storage, 12GB RAM, Triple 50MP Camera, 4600mAh Battery, Qualcomm Snapdragon 8 Gen 1 Chipset",3.9,840 ratings,$379.50,Sorry bro,0%,Xiaomi,6.44 x 0.32 x 2.94 inches,7.2 ounces,B09XB8RRMV,2201122G,1 Lithium Polymer batteries required. (included),"MIUI 13, android 12",12 GB,Cellular,"Bluetooth, Wi-Fi, USB",True,4K Video Recording,Sorry bro,Wireless,"Touchscreen, Keyboard, Numeric Keypad",1440 x 3200,Rear,Smartphone,Gray,4600 Milliampere Hour (mAh),"Fast Car Charger, Adapter, Phone Case, USB Cable",Xiaomi,"April 16, 2023",256 GB,6.73 Inches,12 GB,15%,4%,Sorry bro,52%,21%,{}
"Samsung Galaxy A12 (32GB, 3GB) 6.5"" HD+, Quad Camera, 5000mAh Battery, Global 4G Volte (AT&T Unlocked for T-Mobile, Verizon, Metro) A125U (Blue)",3.4,16 ratings,$140.00,$140.00,16%,SAMSUNG,6 x 4 x 2 inches,9.6 ounces,B09XJPQNX8,SM-A125UZKATMB,Sorry bro,Android 10.0,Sorry bro,"Bluetooth, Cellular",Bluetooth,True,Sorry bro,LCD,Wireless,Touchscreen,720 x 1600,"Rear, Front",Slate,blue,Sorry bro,Adapter,Samsung,"January 1, 2021",32 GB,6.5 Inches,32 GB,Sorry bro,Sorry bro,Sorry bro,12%,11%,{}
Sony Xperia 1 VI XQ-EC72 5G Dual 512GB 12GB RAM Factory Unlocked (GSM Only | No CDMA – not Compatible with Verizon/Sprint) Global Version Smartphone – Black,4.6,23 ratings,"$1,119.99",Sorry bro,0%,Sony,6.5 x 3 x 0.4 inches,9.1 ounces,B0D54WMZ47,XQ-EC72,Sorry bro,Android 13.0,Sorry bro,Cellular,"4G, 5G",True,Sorry bro,Sorry bro,Wireless,Touchscreen,2340 x 1080,"Rear, Front","Bar"" or ""Slate",Black,Sorry bro,"Power Adapter, USB Cable, SIM Tray Ejector",Sony,"May 24, 2024",512 GB,6.5 Inches,12 GB,5%,Sorry bro,Sorry bro,82%,Sorry bro,{}
"SAMSUNG Galaxy S23 Ultra S-View Wallet Phone Case, Protective Cover w/Card Holder Slot, Finger Tap Clear Window, US Version, EF-ZS918CBEGUS, Black",4.6,"1,091 ratings",$48.00,$48.00,22%,SAMSUNG,6.59 x 3.28 x 0.58 inches,2.72 ounces,B0BQ3LJJ6T,EF-ZS918CBEGUS,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Card Slot,Sorry bro,Wireless,Sorry bro,Sorry bro,Sorry bro,Wallet,Black,Sorry bro,Card Holder,SAMSUNG,"February 1, 2023",Sorry bro,Sorry bro,Sorry bro,5%,Sorry bro,3%,2%,11%,"{'Fit': {'pos_rev': '13', 'neg_rev': '5', 'tone': 'POSITIVE'}, 'Look': {'pos_rev': '13', 'neg_rev': '5', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '13', 'neg_rev': '5', 'tone': 'POSITIVE'}, 'Phone protection': {'pos_rev': '13', 'neg_rev': '5', 'tone': 'POSITIVE'}, 'Feel': {'pos_rev': '13', 'neg_rev': '5', 'tone': 'POSITIVE'}, 'Quality': {'pos_rev': '13', 'neg_rev': '5', 'tone': 'MIXED'}, 'Thickness': {'pos_rev': '13', 'neg_rev': '5', 'tone': 'MIXED'}, 'Cover closure': {'pos_rev': '13', 'neg_rev': '5', 'tone': 'NEGATIVE'}}"
"SAMSUNG Galaxy Buds Fan Edition(FE) SM-R400, Active Noise-Cancelling, Wireless Bluetooth v5.2 Earbuds, Android 8.0 and Up - (White)",4.5,546 ratings,$52.80,$249.99,0%,SAMSUNG,1.09 x 1.97 x 1.97 inches,140 Grams,B0CL8CYKJ5,SM-R400,1 Lithium Ion batteries required. (included),Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,White,Sorry bro,Sorry bro,SAMSUNG,"October 17, 2023",Sorry bro,Sorry bro,Sorry bro,5%,Sorry bro,Sorry bro,2%,Sorry bro,"{'Sound quality': {'pos_rev': '51', 'neg_rev': '17', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '51', 'neg_rev': '17', 'tone': 'POSITIVE'}, 'Earbud quality': {'pos_rev': '51', 'neg_rev': '17', 'tone': 'POSITIVE'}, 'Comfort': {'pos_rev': '51', 'neg_rev': '17', 'tone': 'POSITIVE'}, 'Battery life': {'pos_rev': '51', 'neg_rev': '17', 'tone': 'POSITIVE'}, 'Fit': {'pos_rev': '51', 'neg_rev': '17', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '51', 'neg_rev': '17', 'tone': 'POSITIVE'}, 'Connectivity': {'pos_rev': '51', 'neg_rev': '17', 'tone': 'MIXED'}}"
Apple iPhone 13 Mini Clear Case with MagSafe,4.4,"1,143 ratings",$43.88,$49.00,10%,Apple,‎5.91 x 3.26 x 0.61 inches,‎2.12 ounces,‎B09G8JS6TX,‎MM2W3ZM/A,‎1 Lithium Ion batteries required.,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,‎Apple,"‎September 14, 2021",Sorry bro,Sorry bro,Sorry bro,5%,Sorry bro,3%,72%,11%,"{'Looks': {'pos_rev': '15', 'neg_rev': '3', 'tone': 'POSITIVE'}, 'Crack resistance': {'pos_rev': '15', 'neg_rev': '3', 'tone': 'MIXED'}}"
Nokia 3210 | Dual SIM | GSM | Unlocked | International Version | Grunge Black,3.4,24 ratings,$84.14,$299.99,0%,Nokia,4.8 x 2.05 x 0.52 inches,3.07 ounces,B0DG6JHQM8,TA-1686,1 Lithium Ion batteries required. (included),S30+,Sorry bro,Cellular,"Bluetooth, USB",False,"Dual SIM, Basic Phone, Expandable Memory",Sorry bro,Wireless,"Microphone, Keypad, Buttons",240 x 320,Rear,Bar,Grunge Black,1450,"Power Adapter, USB Cable",HMD Global Oy,"September 1, 2024",64 MB,2.4 Inches,64 MB,35%,Sorry bro,13%,22%,Sorry bro,"{'Camera quality': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Text messaging': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'MIXED'}}"
"SAMSUNG Galaxy S20+ Plus 5G Factory Unlocked Android Cell Phone SM-G986U US Version | 128GB | Fingerprint ID & Facial Recognition | Long-Lasting Battery (Cosmic Gray, 128GB)",3.8,43 ratings,$211.52,Sorry bro,0%,SAMSUNG,7.1 x 3.6 x 2.44 inches,6.6 ounces,B08FRR54HL,SM-G986U,1 Lithium Ion batteries required. (included),android,Sorry bro,Sorry bro,Wi-Fi,True,Sorry bro,Sorry bro,Wireless,Buttons,2400 x 1080,Front,Bar,Cosmic Gray,Sorry bro,PLACEHOLDER,Samsung,"August 12, 2020",128 GB,7 Inches,Sorry bro,15%,Sorry bro,Sorry bro,22%,Sorry bro,"{'Camera quality': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'MIXED'}, 'Unlockability': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'NEGATIVE'}}"
"SAMSUNG Galaxy Z Fold5 AI Phone, 256GB Unlocked Android Smartphone, Big 7.6” Screen for Streaming, Gaming, Dual App View, One-Hand Control, Hands-Free Use, US Version, 2023, Icy Blue",4.4,387 ratings,"$1,399.99","$1,799.99",22%,SAMSUNG,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,5%,74%,Sorry bro,2%,11%,"{'Build quality': {'pos_rev': '38', 'neg_rev': '3', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '38', 'neg_rev': '3', 'tone': 'POSITIVE'}, 'Picture quality': {'pos_rev': '38', 'neg_rev': '3', 'tone': 'POSITIVE'}, 'Size': {'pos_rev': '38', 'neg_rev': '3', 'tone': 'POSITIVE'}, 'Foldability': {'pos_rev': '38', 'neg_rev': '3', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '38', 'neg_rev': '3', 'tone': 'MIXED'}, 'Battery life': {'pos_rev': '38', 'neg_rev': '3', 'tone': 'MIXED'}, 'Bulkiness': {'pos_rev': '38', 'neg_rev': '3', 'tone': 'MIXED'}}"
"Xiaomi Poco X7 PRO 5G + 4G LTE (for Tmobile Mint Tello & Global) (512GB + 12GB) Ai 6.67"" 50MP Gamers Phone NFC Dual sim Unlocked Model 2412DPC0AG (Black)",4.6,56 ratings,$440.00,Sorry bro,0%,Xiaomi,7.09 x 3.54 x 2.36 inches,2.2 pounds,B0DRD1SBSD,POCO X7 PRO,1 D batteries required. (included),HyperOS Base on Android 14,Sorry bro,Sorry bro,"5G, 4G LTE",True,4K Video Recording,Sorry bro,Wireless,Sorry bro,2712 x 1220,Sorry bro,Bar,Black,6000 Milliamp Hours,"Fast Car Charger, Adapter, Phone Case, USB Cable",Xiaomi,"January 11, 2025",512 GB,6.67 Inches,12 GB,5%,Sorry bro,83%,Sorry bro,Sorry bro,{}
Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Light Green,4.2,50 ratings,$94.63,Sorry bro,0%,SAMSUNG,Sorry bro,9.1 ounces,B0D64375G1,SM-A055M/DS,1 A batteries required. (included),Android,4 GB,Cellular,Wireless,True,Sorry bro,Sorry bro,Wireless,Buttons,720 x 1600,Front,Slate,Light Green,5000 Milliamp Hours,USB Cable,Samsung,"June 4, 2024",64 GB,6.7 Inches,4 GB,Sorry bro,Sorry bro,3%,62%,Sorry bro,"{'Phone quality': {'pos_rev': '4', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Screen quality': {'pos_rev': '4', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '4', 'neg_rev': '0', 'tone': 'MIXED'}}"
SAMSUNG Galaxy ​S25 Ultra 5G 2025 (International Version) | GSM Unlocked (T-Mobile) | ​1TB ​Storage​ + 12GB RAM SM-S938B ​Qualcomm Snapdragon 8 Elite Android 15 Smartphone (Titanium Silver Blue),5.0,3 ratings,"$1,590.00",Sorry bro,0%,SAMSUNG,Sorry bro,1.1 pounds,B0DTHSYBC4,SM-S938BZBHEUB,1 12V batteries required. (included),Android 15,Sorry bro,Sorry bro,"5G, Wi-Fi",True,Sorry bro,Sorry bro,Wireless,Sorry bro,3120 x 1440,Sorry bro,Bar,Titanium Silver Blue,5000 Milliamp Hours,"Samsung Galaxy S25 Ultra, SIM Tray Ejector, S Pen, USB Type-C charging cable",Samsung,"February 21, 2025",1 TB,6.9 Inches,12 GB,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,{}
"SAMSUNG Galaxy A23 (SM-A235M/DS) Dual SIM,128 GB 4GB RAM, Factory Unlocked GSM, International Version - No Warranty - (Black)",4.0,243 ratings,$229.99,Sorry bro,0%,SAMSUNG,6 x 4 x 2 inches,6.9 ounces,B09W3YPMQ9,SM-A235M,1 Lithium Ion batteries required.,Android,4 GB,Cellular,Wi-Fi,True,Sorry bro,LCD,Wireless,Buttons,1080 x 2408,Rear,Slate,Black,Sorry bro,Adapter,Samsung,"March 21, 2022",128 GB,6.6 Inches,4 GB,5%,Sorry bro,13%,Sorry bro,61%,"{'Value for money': {'pos_rev': '7', 'neg_rev': '3', 'tone': 'POSITIVE'}, 'Picture quality': {'pos_rev': '7', 'neg_rev': '3', 'tone': 'POSITIVE'}, 'Quality': {'pos_rev': '7', 'neg_rev': '3', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '7', 'neg_rev': '3', 'tone': 'MIXED'}, 'Compatibility': {'pos_rev': '7', 'neg_rev': '3', 'tone': 'NEGATIVE'}, 'App crash': {'pos_rev': '7', 'neg_rev': '3', 'tone': 'NEGATIVE'}, 'Power supply': {'pos_rev': '7', 'neg_rev': '3', 'tone': 'NEGATIVE'}}"
"SAMSUNG Galaxy S24 Ultra S Pen Replacement, 0.7mm Fine Tip for Precision, Air Command Touch-Free Control, US Version, EJ-PS928BYEGUS, Yellow Gold",4.7,(76),Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMSUNG SMA155MLBGG Galaxy A15 128GB Unlocked Smart Phone - Blue,3.0,1 rating,$179.99,Sorry bro,0%,SAMSUNG,6.3 x 2.99 x 0.31 inches,7.1 ounces,B0DCM38MSW,SM-A155M/DSN,1 Lithium Polymer batteries required. (included),Android,Sorry bro,Sorry bro,4G,True,Sorry bro,Sorry bro,Wireless,Touchscreen,1080 x 2340,Front,Slate,Blue,Sorry bro,Sorry bro,Samsung,"March 15, 2024",128 GB,6.5 Inches,4 GB,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,{}
Apple iPhone 14 Silicone Case with MagSafe - Succulent,4.1,167 ratings,$38.96,$49.00,20%,Apple,‎7.11 x 3.52 x 0.67 inches,‎2.96 ounces,‎B0BDHM4QFM,‎MPT13ZM/A,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,‎Apple,"‎September 7, 2022",Sorry bro,Sorry bro,Sorry bro,Sorry bro,4%,Sorry bro,Sorry bro,11%,"{'Texture': {'pos_rev': '4', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Color': {'pos_rev': '4', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Phone protection': {'pos_rev': '4', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Chip quality': {'pos_rev': '4', 'neg_rev': '0', 'tone': 'NEGATIVE'}, 'Value for money': {'pos_rev': '4', 'neg_rev': '0', 'tone': 'NEGATIVE'}}"
Apple iPhone 14 Plus Leather Case with MagSafe - Orange,4.1,59 ratings,$27.55,$59.00,53%,Apple,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,11%,{}
